,O3,NO,NO2,NOX,SO2,CO,PM10
34492,0.011,0.007,0.008,0.008,0.002,0.434,27.7
34493,0.008,0.009,0.012,0.011,0.002,0.483,22.7
34494,0.005,0.003,0.016,0.019,0.002,0.616,28.5
34495,0.003,0.013,0.02,0.033,0.002,0.863,47.9
34496,0.001,0.047,0.023,0.07,0.003,1.486,85.2
34497,0.004,0.032,0.019,0.051,0.003,1.169,121
34498,0.009,0.02,0.014,0.033,0.002,0.92,84.4
34499,0.013,0.012,0.012,0.023,0.002,0.839,70.1
34500,0.016,0.013,0.012,0.024,0.003,0.788,80
34501,0.02,0.009,0.011,0.019,0.003,0.66,101.6
34502,0.023,0.008,0.012,0.02,0.002,0.688,68.6
34503,0.026,0.007,0.011,0.017,0.002,0.687,77.2
34504,0.026,0.007,0.012,0.019,0.002,0.727,115.8
34505,0.027,0.004,0.015,0.019,0.002,0.684,109.1
34506,0.026,0.003,0.015,0.017,0.002,0.879,134.6
34507,0.008,0.031,0.041,0.071,0.003,1.642,110.6
34508,0.001,0.114,0.054,0.168,0.006,2.912,149
34509,0.002,0.109,0.055,0.164,0.006,3.227,232.4
34510,0.002,0.132,0.051,0.182,0.007,3.496,257
34511,0.001,0.17,0.052,0.221,0.007,3.414,226.7
34512,0.001,0.191,0.053,0.243,0.007,3.796,203.2
34513,0.001,0.245,0.047,0.291,0.008,4.275,229.4
34514,0.002,0.091,0.036,0.122,0.005,1.98,213.7
34515,0.005,0.01,0.024,0.025,0.003,0.463,94.1
34516,0.007,0.009,0.02,0.02,0.003,0.462,50
34517,0.009,0.011,0.015,0.014,0.002,0.389,38.7
34518,0.007,0.001,0.016,0.017,0.002,0.421,32.9
34519,0.002,0.012,0.022,0.034,0.002,0.77,47
34520,0.001,0.043,0.024,0.066,0.003,1.249,120.4
34521,0.002,0.041,0.023,0.064,0.003,1.373,156.4
34522,0.003,0.027,0.022,0.049,0.003,1.054,125
34523,0.007,0.018,0.018,0.035,0.003,0.705,119.4
34524,0.01,0.013,0.016,0.028,0.003,0.673,116.3
34525,0.015,0.008,0.012,0.02,0.003,0.572,95
34526,0.022,0.011,0.016,0.026,0.003,0.57,113.1
34527,0.029,0.006,0.017,0.023,0.002,0.634,167
34528,0.032,0.014,0.026,0.04,0.002,0.73,166.2
34529,0.027,0.028,0.039,0.067,0.003,0.9,181.6
34530,0.013,0.046,0.056,0.097,0.005,1.057,182.7
34531,0.006,0.023,0.054,0.077,0.004,1.451,166.8
34532,0.001,0.057,0.052,0.108,0.004,2.276,172.4
34533,0.001,0.069,0.044,0.113,0.004,2.255,180.8
34534,0.001,0.13,0.051,0.181,0.007,3.124,173.8
34535,0.001,0.122,0.055,0.177,0.008,3.191,176.6
34536,0.001,0.133,0.054,0.186,0.008,3.286,185.9
34537,0.001,0.136,0.053,0.188,0.006,2.913,209.9
34538,0.001,0.214,0.046,0.259,0.007,4.439,222.5
34539,0.001,0.16,0.042,0.202,0.006,3.622,242.4
34540,0.001,0.084,0.042,0.126,0.004,2.443,231.9
34541,0.001,0.053,0.039,0.092,0.004,1.905,197
34542,0.001,0.093,0.038,0.13,0.004,2.247,160.4
34543,0.001,0.17,0.043,0.213,0.005,2.83,168.8
34544,0.001,0.176,0.04,0.216,0.006,3.706,197.7
34545,0.002,0.114,0.043,0.157,0.006,2.838,235.5
34546,0.003,0.063,0.052,0.114,0.005,2.063,221.2
34547,0.007,0.036,0.052,0.088,0.005,1.407,218.2
34548,0.016,0.028,0.042,0.069,0.004,1.359,186.6
34549,0.03,0.018,0.03,0.048,0.003,0.865,179.5
34550,0.034,0.009,0.03,0.039,0.002,0.941,152
34551,0.036,0.003,0.035,0.037,0.002,0.963,132.7
34552,0.017,0.038,0.04,0.078,0.003,0.946,103.3
34553,0.011,0.031,0.043,0.073,0.003,1.028,125.5
34554,0.009,0.018,0.036,0.053,0.003,0.975,115.5
34555,0.001,0.043,0.04,0.082,0.004,1.49,124.5
34556,0.001,0.055,0.041,0.096,0.005,1.971,137.3
34557,0.009,0.016,0.028,0.043,0.003,1.14,211.9
34558,0.011,0.008,0.027,0.035,0.002,0.842,118.5
34559,0.002,0.015,0.039,0.053,0.002,1.152,88.8
34560,0.002,0.015,0.036,0.051,0.002,0.939,95.4
34561,0.01,0.001,0.022,0.023,0.002,0.83,83
34562,0.008,0.004,0.025,0.028,0.002,0.854,53.3
34563,0.006,0.002,0.027,0.027,0.002,0.914,48.7
34564,0.004,0.005,0.028,0.03,0.002,0.9,39.6
34565,0.001,0.016,0.031,0.047,0.002,0.943,42.3
34566,0.001,0.018,0.031,0.049,0.002,0.858,48.9
34567,0.001,0.045,0.031,0.075,0.003,1.354,61.4
34568,0.001,0.074,0.032,0.105,0.003,2.107,103.5
34569,0.003,0.074,0.033,0.107,0.004,2.077,113.4
34570,0.009,0.034,0.028,0.06,0.003,1.138,121.2
34571,0.019,0.008,0.016,0.024,0.002,0.858,117.5
34572,0.029,0.005,0.015,0.019,0.002,0.771,99
34573,0.034,0.007,0.014,0.021,0.002,0.705,105.6
34574,0.044,0.004,0.013,0.017,0.001,0.7,119.8
34575,0.041,0.005,0.013,0.017,0.001,0.709,93.1
34576,0.038,0.002,0.012,0.014,0.001,0.739,76.9
34577,0.036,0.003,0.013,0.015,0.001,0.751,68.1
34578,0.032,0.007,0.018,0.025,0.001,0.843,87.2
