,O3,NO,NO2,NOX,SO2,CO,PM10
14156,0.014,0.017,0.026,0.042,0.003,0.828,21.2
14157,0.016,0.012,0.023,0.035,0.003,0.659,23
14158,0.012,0.007,0.026,0.032,0.002,0.64,16.6
14159,0.02,0.005,0.015,0.019,0.002,0.387,22
14160,0.025,0.002,0.012,0.013,0.002,0.258,17.4
14161,0.025,0.001,0.009,0.009,0.002,0.185,15.9
14162,0.026,0.001,0.008,0.008,0.002,0.136,14.3
14163,0.024,0.001,0.007,0.008,0.002,0.196,13.3
14164,0.02,0.001,0.011,0.012,0.002,0.269,13.9
14165,0.018,0.003,0.012,0.015,0.002,0.299,16.7
14166,0.013,0.003,0.016,0.019,0.002,0.3,16.4
14167,0.004,0.029,0.025,0.053,0.003,0.915,20.1
14168,0.008,0.02,0.019,0.039,0.003,0.919,25.6
14169,0.014,0.016,0.012,0.028,0.002,0.657,25
14170,0.021,0.009,0.009,0.018,0.002,0.394,21.5
14171,0.027,0.01,0.009,0.018,0.003,0.417,20.7
14172,0.034,0.007,0.009,0.015,0.003,0.447,20.5
14173,0.041,0.006,0.01,0.015,0.003,0.371,22.5
14174,0.047,0.006,0.011,0.016,0.003,0.368,18.8
14175,0.043,0.005,0.014,0.018,0.003,0.384,22.6
14176,0.031,0.005,0.018,0.022,0.002,0.6,31.7
14177,0.017,0.024,0.033,0.057,0.002,1.356,17.8
14178,0.015,0.031,0.029,0.06,0.003,1.293,20.1
14179,0.016,0.03,0.027,0.056,0.002,1.171,17.8
14180,0.007,0.038,0.033,0.071,0.003,1.482,28.6
14181,0.004,0.041,0.034,0.075,0.003,1.581,41.2
14182,0.012,0.011,0.025,0.035,0.002,0.706,40.1
14183,0.011,0.008,0.022,0.029,0.002,0.546,28.3
14184,0.017,0.002,0.015,0.017,0.003,0.351,22.4
14185,0.018,0.001,0.012,0.012,0.003,0.316,18.3
14186,0.018,0.001,0.011,0.011,0.003,0.317,14.7
14187,0.017,0.001,0.01,0.01,0.003,0.236,10.1
14188,0.02,0.001,0.008,0.009,0.003,0.223,11.5
14189,0.011,0.005,0.014,0.018,0.003,0.382,13.8
14190,0.005,0.021,0.016,0.036,0.003,0.687,19.9
14191,0.002,0.048,0.023,0.071,0.004,1.44,23
14192,0.008,0.027,0.018,0.044,0.004,0.95,33.1
14193,0.017,0.017,0.015,0.031,0.004,0.631,24.7
14194,0.024,0.011,0.011,0.022,0.004,0.469,24.3
14195,0.029,0.009,0.01,0.019,0.004,0.448,16.2
14196,0.037,0.006,0.011,0.017,0.005,0.454,22.8
14197,0.043,0.007,0.011,0.018,0.005,0.439,26.2
14198,0.044,0.006,0.01,0.016,0.005,0.371,24.7
14199,0.045,0.004,0.01,0.014,0.005,0.268,18.6
14200,0.045,0.005,0.011,0.015,0.004,0.331,15.8
14201,0.04,0.005,0.011,0.016,0.004,0.336,25.2
14202,0.021,0.013,0.024,0.037,0.004,0.808,26.3
14203,0.017,0.016,0.027,0.043,0.003,0.878,14.1
14204,0.009,0.026,0.035,0.061,0.004,1.247,27.1
14205,0.001,0.072,0.039,0.111,0.005,2.424,41.1
14206,0.007,0.02,0.026,0.046,0.005,0.881,57.8
14207,0.009,0.009,0.022,0.03,0.004,0.614,37.8
14208,0.023,0.001,0.018,0.018,0.003,0.456,31.1
14209,0.031,0.001,0.012,0.012,0.003,0.261,27.4
14210,0.025,0.001,0.011,0.011,0.003,0.251,19.2
14211,0.03,0.001,0.008,0.008,0.003,0.23,13.7
14212,0.029,0.001,0.007,0.007,0.003,0.216,16.1
14213,0.017,0.004,0.015,0.018,0.003,0.36,13.5
14214,0.005,0.009,0.023,0.032,0.003,0.56,22.2
14215,0.002,0.023,0.022,0.045,0.004,0.917,30.3
14216,0.003,0.039,0.024,0.063,0.006,1.034,50.3
14217,0.008,0.027,0.019,0.046,0.005,1.035,48.4
14218,0.014,0.016,0.015,0.031,0.004,0.717,41.7
14219,0.024,0.01,0.012,0.022,0.003,0.514,32.7
14220,0.037,0.005,0.01,0.015,0.003,0.431,30.5
14221,0.043,0.006,0.011,0.016,0.004,0.428,25.5
14222,0.044,0.008,0.012,0.019,0.003,0.447,25.5
14223,0.043,0.007,0.011,0.018,0.003,0.415,18.1
14224,0.045,0.006,0.011,0.017,0.003,0.323,24.5
14225,0.041,0.007,0.017,0.024,0.003,0.618,38.8
14226,0.029,0.008,0.025,0.032,0.003,0.886,35.7
14227,0.021,0.009,0.029,0.037,0.003,0.98,30.3
14228,0.014,0.024,0.033,0.057,0.003,1.389,39.9
14229,0.001,0.059,0.046,0.105,0.005,2.756,57.3
14230,0.001,0.046,0.038,0.084,0.005,2.194,72.1
14231,0.002,0.034,0.032,0.065,0.004,1.452,54.8
14232,0.001,0.023,0.029,0.052,0.004,1.091,41
14233,0.006,0.014,0.02,0.033,0.003,0.737,40.7
14234,0.017,0.003,0.01,0.013,0.002,0.242,27.5
14235,0.017,0.003,0.011,0.014,0.002,0.295,18.1
14236,0.012,0.001,0.012,0.013,0.002,0.275,13.9
14237,0.012,0.002,0.012,0.014,0.002,0.317,20.8
14238,0.003,0.013,0.02,0.032,0.002,0.819,17.5
14239,0.003,0.016,0.02,0.035,0.002,0.769,21.2
14240,0.011,0.011,0.014,0.025,0.002,0.558,20.2
14241,0.019,0.01,0.012,0.022,0.002,0.454,17.3
14242,0.026,0.008,0.011,0.018,0.002,0.402,19.9
14243,0.034,0.004,0.009,0.012,0.002,0.32,21.6
14244,0.036,0.004,0.008,0.011,0.002,0.368,18.7
14245,0.039,0.005,0.008,0.012,0.002,0.316,18.9
14246,0.04,0.006,0.009,0.014,0.002,0.334,13.1
14247,0.042,0.008,0.01,0.017,0.002,0.384,14.6
14248,0.049,0.004,0.01,0.014,0.003,0.323,17.2
14249,0.047,0.006,0.011,0.016,0.002,0.284,23.3
14250,0.044,0.004,0.011,0.015,0.002,0.316,23.5
14251,0.039,0.006,0.015,0.02,0.002,0.386,28.4
14252,0.022,0.017,0.029,0.046,0.002,0.971,26.9
14253,0.026,0.005,0.022,0.027,0.002,0.536,31.1
14254,0.025,0.002,0.024,0.026,0.002,0.547,29.1
14255,0.027,0.002,0.018,0.019,0.002,0.415,23.6
14256,0.028,0.001,0.017,0.017,0.002,0.432,26.9
14257,0.032,0.001,0.01,0.01,0.002,0.275,22
14258,0.036,0.001,0.007,0.007,0.002,0.189,13.9
14259,0.035,0.001,0.007,0.007,0.002,0.244,12
14260,0.024,0.001,0.012,0.013,0.002,0.279,15.1
14261,0.01,0.007,0.02,0.027,0.002,0.465,21.2
14262,0.002,0.024,0.023,0.047,0.003,0.801,29
14263,0.002,0.029,0.02,0.05,0.006,0.954,35.6
14264,0.002,0.058,0.02,0.077,0.008,1.794,44.1
14265,0.007,0.029,0.017,0.046,0.009,0.95,48.5
14266,0.019,0.019,0.02,0.038,0.005,0.877,44.6
14267,0.033,0.014,0.022,0.036,0.004,0.849,43.1
14268,0.054,0.008,0.025,0.033,0.004,0.862,51.3
14269,0.07,0.006,0.023,0.029,0.003,0.799,54.6
14270,0.085,0.004,0.017,0.02,0.003,0.514,41.4
14271,0.074,0.005,0.016,0.02,0.003,0.461,34.1
14272,0.063,0.003,0.015,0.018,0.003,0.445,37.7
14273,0.026,0.009,0.027,0.036,0.003,0.753,35
14274,0.024,0.006,0.025,0.031,0.003,0.746,31.4
14275,0.028,0.005,0.021,0.025,0.002,0.701,28.2
14276,0.025,0.01,0.026,0.036,0.002,0.803,31.2
14277,0.011,0.016,0.033,0.048,0.003,1.046,39.6
14278,0.021,0.003,0.018,0.021,0.003,0.443,31.4
14279,0.021,0.003,0.019,0.021,0.002,0.464,26.8
14280,0.018,0.001,0.018,0.019,0.003,0.461,31.5
14281,0.032,0.001,0.008,0.008,0.003,0.208,35.3
14282,0.031,0.001,0.008,0.008,0.003,0.219,8.3
14283,0.028,0.001,0.008,0.008,0.003,0.278,7.9
14284,0.024,0.001,0.011,0.012,0.003,0.305,9.9
14285,0.021,0.001,0.012,0.013,0.003,0.315,7.7
14286,0.023,0.002,0.012,0.013,0.003,0.373,6.1
14287,0.019,0.004,0.016,0.02,0.003,0.6,6.8
14288,0.02,0.005,0.015,0.019,0.003,0.435,7.7
14289,0.018,0.012,0.018,0.029,0.003,0.748,7.1
14290,0.017,0.018,0.02,0.037,0.004,0.928,14.2
14291,0.026,0.009,0.011,0.02,0.003,0.448,23.3
14292,0.038,0.007,0.012,0.018,0.003,0.469,22.4
14293,0.045,0.006,0.01,0.015,0.003,0.348,24.2
14294,0.049,0.006,0.012,0.018,0.003,0.389,15.9
14295,0.054,0.005,0.012,0.017,0.004,0.425,11.4
14296,0.059,0.005,0.013,0.018,0.003,0.382,19.9
14297,0.066,0.002,0.018,0.02,0.003,0.55,30.8
14298,0.052,0.003,0.025,0.028,0.004,0.738,26.6
14299,0.028,0.006,0.037,0.042,0.003,0.956,23.9
14300,0.012,0.008,0.052,0.06,0.005,1.357,36.6
14301,0.027,0.002,0.017,0.019,0.003,0.472,31.8
14302,0.027,0.001,0.014,0.015,0.003,0.309,16.9
14303,0.026,0.001,0.012,0.013,0.003,0.266,10.8
14304,0.027,0.001,0.009,0.009,0.002,0.276,8.2
14305,0.026,0.001,0.009,0.01,0.002,0.26,10.1
14306,0.024,0.001,0.009,0.01,0.002,0.24,6.3
14307,0.02,0.002,0.009,0.01,0.002,0.251,11.4
14308,0.023,0.001,0.009,0.009,0.002,0.217,7.3
14309,0.019,0.002,0.011,0.013,0.003,0.318,8.5
14310,0.008,0.015,0.019,0.034,0.003,0.71,16.7
14311,0.002,0.04,0.025,0.064,0.004,1.368,26.8
14312,0.005,0.047,0.023,0.069,0.005,1.543,38.1
14313,0.012,0.022,0.017,0.039,0.004,0.91,36.3
14314,0.021,0.009,0.01,0.019,0.003,0.447,32.5
14315,0.033,0.005,0.009,0.014,0.003,0.375,22.1
14316,0.041,0.007,0.011,0.018,0.003,0.366,22.7
14317,0.048,0.006,0.013,0.019,0.003,0.431,27.7
14318,0.047,0.01,0.014,0.023,0.003,0.511,28.1
14319,0.047,0.005,0.015,0.019,0.003,0.498,24.7
14320,0.038,0.005,0.019,0.023,0.003,0.606,24.9
14321,0.027,0.007,0.023,0.03,0.003,0.787,13.1
14322,0.025,0.011,0.026,0.037,0.003,0.916,14.4
14323,0.026,0.009,0.018,0.027,0.003,0.704,18.4
14324,0.015,0.018,0.029,0.046,0.003,1.019,11.5
14325,0.013,0.012,0.026,0.038,0.003,0.884,14
14326,0.004,0.018,0.032,0.05,0.003,1.084,18.2
14327,0.007,0.009,0.026,0.035,0.003,0.615,28.5
14328,0.019,0.003,0.016,0.018,0.002,0.372,25.2
14329,0.025,0.001,0.008,0.009,0.003,0.196,13.8
14330,0.022,0.001,0.008,0.008,0.002,0.157,11
14331,0.018,0.001,0.009,0.01,0.003,0.176,11.5
14332,0.017,0.001,0.01,0.011,0.003,0.272,10.2
14333,0.013,0.001,0.012,0.013,0.003,0.258,10.6
14334,0.007,0.016,0.018,0.033,0.003,0.554,16.2
14335,0.003,0.034,0.02,0.054,0.004,1.017,34.4
14336,0.008,0.03,0.017,0.047,0.003,0.932,38
14337,0.018,0.014,0.012,0.026,0.003,0.613,35.8
14338,0.028,0.009,0.01,0.018,0.004,0.402,26.1
14339,0.032,0.006,0.009,0.015,0.003,0.315,19.2
14340,0.04,0.01,0.012,0.022,0.004,0.383,22.6
14341,0.048,0.008,0.012,0.019,0.006,0.476,19.9
14342,0.046,0.008,0.012,0.019,0.006,0.421,22.9
14343,0.049,0.004,0.008,0.012,0.004,0.315,21.8
14344,0.047,0.005,0.009,0.013,0.003,0.292,19.3
14345,0.034,0.007,0.016,0.022,0.003,0.543,31.3
14346,0.022,0.017,0.03,0.047,0.004,1.144,28
14347,0.013,0.011,0.036,0.047,0.004,0.983,38.9
14348,0.004,0.02,0.044,0.063,0.005,1.34,45.5
14349,0.005,0.027,0.039,0.065,0.004,1.305,44
14350,0.001,0.04,0.04,0.08,0.005,1.752,55.1
14351,0.011,0.005,0.024,0.029,0.003,0.586,63.9
14352,0.026,0.001,0.014,0.014,0.004,0.324,39
14353,0.025,0.001,0.012,0.013,0.003,0.296,27.5
14354,0.025,0.001,0.009,0.009,0.003,0.242,23.7
14355,0.03,0.001,0.007,0.007,0.003,0.195,18.8
14356,0.031,0.001,0.006,0.006,0.003,0.165,16.4
14357,0.028,0.001,0.008,0.009,0.003,0.178,18.5
14358,0.013,0.011,0.022,0.033,0.003,0.623,14.7
14359,0.005,0.013,0.027,0.04,0.003,0.978,17.8
14360,0.002,0.018,0.032,0.05,0.004,1.267,19.3
14361,0.004,0.019,0.031,0.049,0.004,1.047,18.8
14362,0.011,0.017,0.019,0.036,0.004,0.937,22.5
14436,0.044,0.009,0.01,0.019,0.002,0.612,13.3
14437,0.042,0.007,0.011,0.018,0.002,0.565,10.1
14438,0.049,0.004,0.009,0.013,0.002,0.455,9.1
14439,0.065,0.003,0.012,0.015,0.002,0.45,12.6
14440,0.07,0.002,0.011,0.012,0.002,0.405,18
14441,0.067,0.002,0.01,0.012,0.002,0.292,17.5
14442,0.058,0.002,0.009,0.011,0.002,0.23,13.3
14443,0.044,0.002,0.01,0.011,0.002,0.334,15.3
14444,0.034,0.002,0.015,0.016,0.002,0.391,19.1
14445,0.025,0.002,0.013,0.015,0.002,0.44,21.6
14446,0.023,0.002,0.009,0.011,0.002,0.307,16
14447,0.022,0.001,0.008,0.009,0.002,0.224,11.4
14448,0.026,0.001,0.005,0.006,0.002,0.196,20.1
14449,0.025,0.001,0.005,0.005,0.002,0.174,15.8
14450,0.028,0.001,0.004,0.004,0.002,0.179,10.1
14451,0.033,0.001,0.003,0.004,0.002,0.143,8.5
14452,0.034,0.001,0.004,0.004,0.002,0.149,10.6
14453,0.032,0.001,0.005,0.005,0.002,0.245,7.5
14454,0.027,0.001,0.01,0.011,0.002,0.412,11
14455,0.01,0.018,0.02,0.037,0.003,0.858,16.2
14456,0.008,0.02,0.02,0.04,0.004,0.999,29.2
14457,0.014,0.017,0.016,0.032,0.004,0.71,27.2
14458,0.024,0.01,0.01,0.02,0.003,0.506,25.2
14459,0.028,0.009,0.01,0.018,0.003,0.539,24.4
14460,0.035,0.005,0.008,0.013,0.003,0.571,17.4
14461,0.041,0.008,0.01,0.018,0.002,0.66,16.8
14462,0.041,0.008,0.01,0.017,0.003,0.605,18.4
14463,0.043,0.005,0.008,0.013,0.002,0.563,12.3
14464,0.043,0.006,0.009,0.014,0.002,0.502,8
14465,0.043,0.007,0.01,0.016,0.003,0.51,16.2
14466,0.044,0.006,0.011,0.017,0.003,0.611,22.4
14467,0.041,0.005,0.012,0.016,0.003,0.482,21.9
14468,0.028,0.011,0.027,0.038,0.003,0.98,23.1
14469,0.025,0.004,0.025,0.029,0.003,0.847,45
14470,0.02,0.001,0.012,0.013,0.002,0.565,32.5
14471,0.022,0.001,0.01,0.011,0.002,0.448,20.6
14472,0.028,0.001,0.007,0.007,0.003,0.238,10.6
14473,0.028,0.001,0.005,0.005,0.004,0.116,8.3
14474,0.027,0,0.004,0.004,0.003,0.109,12.4
14475,0.025,0.001,0.004,0.004,0.003,0.106,8.7
14476,0.025,0,0.004,0.004,0.004,0.197,10
14477,0.024,0.001,0.005,0.006,0.004,0.168,10.4
14478,0.009,0.009,0.017,0.026,0.004,0.594,15.4
14479,0.003,0.042,0.022,0.064,0.004,1.51,25.7
14480,0.006,0.034,0.017,0.05,0.005,1.051,30.9
14481,0.013,0.018,0.015,0.033,0.004,0.826,36.4
14482,0.021,0.01,0.009,0.019,0.004,0.414,34.5
14483,0.031,0.01,0.01,0.02,0.004,0.408,26.3
14484,0.038,0.006,0.01,0.016,0.004,0.434,21.3
14485,0.043,0.006,0.009,0.014,0.004,0.405,23.1
14486,0.041,0.007,0.008,0.015,0.005,0.303,15.2
14487,0.043,0.006,0.008,0.014,0.004,0.207,12.2
14488,0.043,0.005,0.008,0.013,0.004,0.259,9.1
14489,0.044,0.005,0.009,0.014,0.004,0.346,16.8
14490,0.041,0.01,0.011,0.021,0.005,0.406,16
14491,0.037,0.009,0.017,0.025,0.004,0.473,19.8
14492,0.016,0.026,0.035,0.06,0.005,1.24,25.2
14493,0.005,0.035,0.042,0.076,0.005,1.641,41.1
14494,0.005,0.016,0.042,0.058,0.005,1.157,46.9
14495,0.002,0.015,0.041,0.055,0.005,1.169,55.7
14496,0.021,0.001,0.019,0.02,0.003,0.525,58.3
14497,0.023,0.001,0.019,0.02,0.002,0.447,41
14498,0.024,0.001,0.012,0.013,0.002,0.301,26
14499,0.014,0.001,0.016,0.017,0.003,0.432,29.8
14500,0.013,0.001,0.016,0.017,0.002,0.414,28.2
14501,0.015,0.001,0.023,0.024,0.003,0.542,32
14502,0.004,0.022,0.027,0.049,0.003,0.933,37.3
14503,0.001,0.051,0.027,0.078,0.004,1.556,53.1
14504,0.002,0.058,0.028,0.087,0.006,1.677,70.6
14534,0.06,0.004,0.014,0.017,0.002,0.457,33
14535,0.072,0.004,0.014,0.017,0.002,0.513,38.7
14536,0.077,0.002,0.016,0.018,0.002,0.52,42.5
14537,0.093,0.001,0.015,0.016,0.002,0.522,46.3
14538,0.045,0.004,0.018,0.022,0.002,0.481,51.3
14539,0.037,0.01,0.019,0.028,0.002,0.623,48.3
14540,0.027,0.015,0.026,0.041,0.002,0.838,18.1
14541,0.024,0.007,0.028,0.034,0.002,0.768,23.3
14542,0.027,0.003,0.025,0.028,0.002,0.554,23.1
14543,0.023,0.004,0.024,0.028,0.002,0.574,26
14544,0.03,0.002,0.016,0.018,0.002,0.514,31.2
14545,0.032,0.002,0.013,0.014,0.003,0.416,21.9
14546,0.032,0.001,0.011,0.011,0.003,0.391,16.6
14547,0.026,0.002,0.012,0.013,0.002,0.416,12.3
14548,0.014,0.002,0.018,0.02,0.002,0.566,22
14549,0.012,0.003,0.017,0.02,0.002,0.487,26.2
14550,0.009,0.011,0.024,0.034,0.003,0.737,22.3
14551,0.008,0.011,0.022,0.033,0.004,0.824,27.4
14552,0.008,0.023,0.024,0.046,0.003,1.228,33.5
14553,0.016,0.019,0.02,0.039,0.003,1.176,37.7
14554,0.028,0.01,0.013,0.023,0.003,0.624,36.5
14555,0.04,0.007,0.012,0.019,0.003,0.65,27
14556,0.043,0.009,0.013,0.021,0.003,0.737,24.5
14557,0.046,0.009,0.014,0.022,0.003,0.571,27.9
14558,0.047,0.008,0.014,0.022,0.003,0.558,25.8
14559,0.047,0.009,0.015,0.023,0.003,0.755,24.6
14560,0.046,0.01,0.017,0.026,0.003,0.789,69.1
14561,0.044,0.008,0.017,0.025,0.003,0.696,42.2
14562,0.044,0.008,0.016,0.023,0.003,0.584,33.2
14563,0.035,0.007,0.023,0.029,0.003,0.784,33.5
14564,0.014,0.015,0.038,0.053,0.003,1.285,43.9
14565,0.021,0.004,0.03,0.033,0.003,0.939,53.6
14566,0.036,0.002,0.02,0.021,0.002,0.544,36.1
14567,0.033,0.001,0.015,0.016,0.002,0.574,27.1
14568,0.032,0.001,0.01,0.011,0.003,0.477,25.2
14569,0.031,0.001,0.008,0.008,0.003,0.491,20.2
14570,0.03,0.001,0.008,0.008,0.003,0.418,19.3
14571,0.029,0.001,0.007,0.007,0.003,0.392,17.2
14572,0.028,0.001,0.006,0.006,0.003,0.362,15.9
14573,0.033,0.002,0.013,0.014,0.003,0.535,15.8
14574,0.031,0.002,0.016,0.018,0.003,0.555,10.7
14575,0.016,0.005,0.024,0.029,0.003,0.817,15.1
14576,0.016,0.008,0.016,0.023,0.003,0.702,22.8
14577,0.018,0.009,0.013,0.021,0.003,0.676,25.5
14578,0.024,0.006,0.009,0.014,0.003,0.545,31.8
14579,0.03,0.006,0.008,0.013,0.003,0.592,29.9
14580,0.033,0.005,0.007,0.011,0.003,0.533,19.8
14581,0.033,0.005,0.008,0.013,0.003,0.529,18.9
14582,0.033,0.006,0.008,0.013,0.003,0.472,13.3
14583,0.032,0.005,0.008,0.013,0.003,0.512,24.9
14584,0.034,0.006,0.007,0.013,0.003,0.485,12.2
14585,0.035,0.005,0.008,0.012,0.003,0.524,13.1
14586,0.034,0.005,0.009,0.013,0.003,0.481,16.8
14587,0.03,0.007,0.013,0.02,0.003,0.641,19.6
14588,0.017,0.01,0.024,0.033,0.003,1.026,32.7
14589,0.011,0.009,0.03,0.039,0.004,1.126,34.1
14590,0.006,0.007,0.033,0.04,0.004,1.147,39
14591,0.009,0.004,0.026,0.03,0.004,0.889,36.7
14592,0.026,0.001,0.013,0.014,0.002,0.347,26.4
14593,0.032,0.001,0.007,0.007,0.001,0.194,16
14594,0.036,0.001,0.006,0.007,0.001,0.191,20.6
14595,0.036,0.001,0.007,0.007,0.001,0.112,11.4
14596,0.032,0.001,0.008,0.008,0.001,0.188,3.6
14597,0.028,0.002,0.011,0.013,0.001,0.303,7.4
14598,0.016,0.022,0.024,0.045,0.002,1.123,7.8
14599,0.005,0.047,0.03,0.076,0.003,1.817,15.1
14600,0.009,0.032,0.023,0.054,0.002,1.249,17.9
14601,0.015,0.02,0.015,0.035,0.002,0.899,21.7
14602,0.022,0.012,0.011,0.023,0.002,0.761,29.6
14603,0.026,0.013,0.012,0.024,0.003,0.722,31.2
14604,0.033,0.012,0.012,0.023,0.002,0.7,40
14605,0.036,0.009,0.011,0.019,0.002,0.505,26.5
14606,0.041,0.01,0.012,0.021,0.002,0.534,19.5
14607,0.043,0.011,0.013,0.023,0.002,0.488,14.2
14608,0.044,0.01,0.013,0.022,0.002,0.487,14.1
14609,0.034,0.006,0.015,0.02,0.002,0.455,21.5
14610,0.028,0.014,0.02,0.033,0.002,0.888,21.1
14611,0.018,0.02,0.028,0.049,0.003,1.209,30.5
14612,0.009,0.025,0.033,0.058,0.003,1.347,44.7
14613,0.014,0.015,0.026,0.041,0.002,0.783,38.5
14614,0.033,0.01,0.017,0.027,0.002,0.418,37.7
14615,0.038,0.002,0.012,0.013,0.001,0.159,21.4
14616,0.036,0.002,0.011,0.013,0.002,0.338,8.3
14617,0.032,0.001,0.008,0.009,0.002,0.225,11.3
14618,0.028,0.001,0.007,0.007,0.002,0.19,12.3
14619,0.027,0.001,0.006,0.007,0.001,0.202,8.4
14620,0.026,0.001,0.007,0.008,0.001,0.209,8.8
14621,0.02,0.004,0.013,0.016,0.002,0.322,13.5
14622,0.011,0.014,0.02,0.033,0.002,0.754,20.7
14623,0.007,0.029,0.021,0.05,0.002,1.047,22.9
14624,0.009,0.029,0.02,0.049,0.002,1.139,29.6
14625,0.016,0.02,0.014,0.033,0.002,0.742,30.3
14626,0.02,0.017,0.011,0.028,0.002,0.595,22.9
14627,0.023,0.011,0.009,0.02,0.002,0.625,22.2
14628,0.024,0.015,0.011,0.026,0.002,0.873,16.7
14629,0.029,0.01,0.011,0.02,0.002,0.641,12.4
14630,0.025,0.019,0.015,0.033,0.002,0.833,18.6
14631,0.028,0.015,0.013,0.027,0.002,0.78,13.8
14632,0.027,0.014,0.012,0.025,0.002,0.715,23.6
14633,0.023,0.014,0.013,0.026,0.002,0.582,16.4
14634,0.022,0.016,0.013,0.029,0.002,0.652,21.4
14635,0.016,0.017,0.016,0.032,0.002,0.76,37.6
14636,0.009,0.026,0.017,0.042,0.002,0.955,46.8
14637,0.005,0.035,0.019,0.053,0.003,1.146,35
14638,0.004,0.03,0.019,0.049,0.003,1.097,23.1
14639,0.004,0.025,0.018,0.042,0.003,0.78,24.6
14640,0.005,0.012,0.017,0.029,0.003,0.635,25.1
14641,0.009,0.003,0.011,0.014,0.002,0.287,20
14642,0.012,0.001,0.008,0.008,0.003,0.274,8.1
14643,0.012,0.002,0.008,0.009,0.003,0.306,4.1
14644,0.01,0.002,0.009,0.011,0.003,0.322,5
14645,0.007,0.007,0.011,0.018,0.003,0.384,5.7
14646,0.005,0.023,0.013,0.035,0.003,0.629,13.5
14647,0.004,0.049,0.014,0.062,0.004,1.24,16
14648,0.005,0.06,0.015,0.075,0.005,1.551,27.8
14649,0.009,0.023,0.01,0.032,0.004,0.86,22.2
14650,0.014,0.015,0.008,0.022,0.003,0.642,16.2
14651,0.016,0.012,0.008,0.02,0.003,0.637,16.3
14652,0.021,0.019,0.011,0.029,0.003,0.858,16.6
14653,0.027,0.016,0.013,0.028,0.003,0.821,18.9
14654,0.032,0.014,0.012,0.025,0.002,0.645,15
14655,0.029,0.012,0.014,0.026,0.003,0.718,17.7
14656,0.02,0.01,0.012,0.022,0.003,0.642,24.9
14657,0.014,0.01,0.014,0.024,0.003,0.679,21.3
14658,0.014,0.009,0.013,0.022,0.003,0.589,10.1
14659,0.01,0.012,0.016,0.028,0.003,0.666,13
14660,0.007,0.011,0.017,0.027,0.003,0.657,16.3
14661,0.006,0.017,0.017,0.034,0.003,0.677,18.7
14662,0.006,0.017,0.016,0.033,0.003,0.614,16.8
14663,0.007,0.008,0.014,0.022,0.003,0.462,14.6
14664,0.007,0.003,0.012,0.015,0.002,0.287,13.1
14665,0.011,0.002,0.008,0.009,0.001,0.17,9.6
14666,0.009,0.004,0.011,0.014,0.002,0.239,7.4
14667,0.011,0.001,0.007,0.008,0.002,0.146,7.9
14668,0.01,0.003,0.008,0.01,0.002,0.138,4.9
14669,0.006,0.008,0.011,0.018,0.003,0.292,5.5
14670,0.005,0.027,0.013,0.041,0.003,0.731,15.8
14671,0.004,0.052,0.014,0.065,0.004,1.33,21.8
14672,0.005,0.038,0.012,0.05,0.003,0.974,32.3
14673,0.005,0.034,0.011,0.044,0.003,0.933,28
14674,0.008,0.025,0.009,0.033,0.003,0.675,26.9
14675,0.012,0.017,0.008,0.024,0.003,0.673,21.3
14676,0.011,0.022,0.012,0.034,0.002,0.904,16.8
14677,0.016,0.02,0.011,0.031,0.003,0.851,14.8
14678,0.019,0.019,0.012,0.03,0.002,0.752,15.2
14679,0.019,0.017,0.01,0.026,0.002,0.674,14.4
14680,0.02,0.016,0.011,0.026,0.002,0.632,12.5
14681,0.021,0.015,0.013,0.027,0.002,0.633,10
14682,0.02,0.008,0.012,0.02,0.002,0.513,19.2
14683,0.019,0.006,0.014,0.02,0.002,0.485,22
14684,0.018,0.004,0.014,0.017,0.001,0.479,26.7
14685,0.012,0.006,0.015,0.02,0.001,0.571,16.5
14686,0.008,0.005,0.012,0.017,0.002,0.442,15.8
14687,0.006,0.003,0.013,0.016,0.001,0.388,14.9
14688,0.007,0.002,0.011,0.013,0.001,0.327,4.4
14689,0.008,0.001,0.009,0.01,0.001,0.273,8
14690,0.012,0.001,0.006,0.007,0.001,0.218,4.1
14691,0.012,0.001,0.005,0.006,0.001,0.222,4.8
14692,0.007,0.002,0.009,0.011,0.001,0.235,6.5
14693,0.006,0.008,0.01,0.017,0.002,0.326,12.8
14694,0.007,0.014,0.01,0.023,0.002,0.595,10.6
14695,0.007,0.026,0.012,0.038,0.002,0.965,12.1
14696,0.006,0.04,0.014,0.053,0.002,1.204,13.6
14697,0.008,0.033,0.013,0.046,0.002,1.113,10.3
14698,0.012,0.019,0.009,0.027,0.001,0.752,13.8
14699,0.017,0.011,0.006,0.016,0.001,0.465,14.6
14700,0.019,0.015,0.009,0.023,0.001,0.636,13.5
14701,0.024,0.011,0.008,0.018,0.002,0.621,11.5
14702,0.024,0.01,0.008,0.017,0.001,0.581,17.4
14703,0.028,0.009,0.008,0.017,0.002,0.49,8.2
14704,0.026,0.01,0.009,0.019,0.002,0.574,12
14705,0.018,0.007,0.011,0.018,0.001,0.561,20.2
14706,0.014,0.006,0.015,0.021,0.001,0.52,11.8
14707,0.006,0.011,0.021,0.031,0.001,0.746,18.5
14708,0.006,0.021,0.019,0.039,0.001,0.961,28.8
14709,0.018,0.003,0.015,0.017,0.001,0.565,24.5
14710,0.019,0.002,0.012,0.013,0.001,0.38,15.6
